Data as of,State,Place of Death,Start week,End Week,COVID19 Deaths,Total Deaths,Pneumonia Deaths,Pneumonia and COVID19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID19 Deaths",Footnote
07/22/2020,United States,"Healthcare Setting, Inpatient",02/01/2020,07/11/2020,82656,425338,97160,43927,3965,139765,
07/22/2020,United States,"Healthcare Setting, Outpatient or Emergency Room",02/01/2020,07/11/2020,4693,86308,4743,1554,227,8101,
07/22/2020,United States,"Healthcare Setting, Dead on Arrival",02/01/2020,07/11/2020,137,4155,108,34,11,222,
07/22/2020,United States,Decedent's Home,02/01/2020,07/11/2020,6564,488563,9493,1192,1428,15465,
07/22/2020,United States,Hospice Facility,02/01/2020,07/11/2020,3278,93261,6600,1533,311,8649,
07/22/2020,United States,Nursing Home or Long Term Care Facility,02/01/2020,07/11/2020,30860,270880,18428,7468,513,42320,
07/22/2020,United States,Other,02/01/2020,07/11/2020,2017,96848,2225,506,97,3818,
07/22/2020,United States,Place of Death Unknown,02/01/2020,07/11/2020,45,1370,72,17,1,101,
07/22/2020,Alabama,"Healthcare Setting, Inpatient",02/01/2020,07/11/2020,952,7586,1464,344,67,2137,
07/22/2020,Alabama,"Healthcare Setting, Outpatient or Emergency Room",02/01/2020,07/11/2020,43,1917,40,,,84,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,Alabama,"Healthcare Setting, Dead on Arrival",02/01/2020,07/11/2020,0,41,0,0,0,0,
07/22/2020,Alabama,Decedent's Home,02/01/2020,07/11/2020,56,10662,78,,14,139,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,Alabama,Hospice Facility,02/01/2020,07/11/2020,15,1013,79,10,,87,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,Alabama,Nursing Home or Long Term Care Facility,02/01/2020,07/11/2020,197,3189,104,22,,281,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,Alabama,Other,02/01/2020,07/11/2020,,1443,13,,,15,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,Alabama,Place of Death Unknown,02/01/2020,07/11/2020,0,0,0,0,0,0,
07/22/2020,Alaska,"Healthcare Setting, Inpatient",02/01/2020,07/11/2020,11,607,58,,,68,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,Alaska,"Healthcare Setting, Outpatient or Emergency Room",02/01/2020,07/11/2020,0,123,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,Alaska,"Healthcare Setting, Dead on Arrival",02/01/2020,07/11/2020,0,,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,Alaska,Decedent's Home,02/01/2020,07/11/2020,0,786,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,Alaska,Hospice Facility,02/01/2020,07/11/2020,0,0,0,0,0,0,
07/22/2020,Alaska,Nursing Home or Long Term Care Facility,02/01/2020,07/11/2020,0,200,,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,Alaska,Other,02/01/2020,07/11/2020,0,157,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,Alaska,Place of Death Unknown,02/01/2020,07/11/2020,0,0,0,0,0,0,
