FIPS,ST,STATE,ST_ABBR,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV,M_POV,E_UNEMP,M_UNEMP,E_PCI,M_PCI,E_NOHSDP,M_NOHSDP,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_MINRTY,M_MINRTY,E_LIMENG,M_LIMENG,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV,MP_POV,EP_UNEMP,MP_UNEMP,EP_PCI,MP_PCI,EP_NOHSDP,MP_NOHSDP,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_MINRTY,MP_MINRTY,EP_LIMENG,MP_LIMENG,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV,EPL_UNEMP,EPL_PCI,EPL_NOHSDP,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,SPL_THEME2,RPL_THEME2,EPL_MINRTY,EPL_LIMENG,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV,F_UNEMP,F_PCI,F_NOHSDP,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_THEME2,F_MINRTY,F_LIMENG,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_UNINSUR,M_UNINSUR,EP_UNINSUR,MP_UNINSUR,E_DAYPOP
0,1,ALABAMA,AL,Shelby,1117,"Shelby County, Alabama",785.3750191,211261,0,86077,217,78328,781,17557,1471,4411,490,36576,787,11258,787,30125,103,50611,23,23579,1005,4696,443.0,46203,219.0,3147,559.0,6573,482.0,6867,403,875,192.0,2305,314,2989,392,8.4,0.7,4.0,0.4,36576.0,787.0,7.8,0.5,14.3,0.1,24.0,0.0,11.2,0.5,6.0,0.6,21.9,0.1,1.6,0.3,7.6,0.6,8.0,0.5,1.1,0.2,2.9,0.4,1.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0606,0.8788,0.0,0.0758,1.0152,0.0303,0.303,0.8788,1.1818,0.6667,0.8939,0.0606,0.1818,0.0,0.3788,1.5151,0.0758,3.7121,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14284,1203,6.8,0.6,186485
1,1,ALABAMA,AL,Baldwin,1003,"Baldwin County, Alabama",1589.7930067,208107,0,111945,206,78622,1183,21653,1765,4343,620,31203,716,14310,1211,40665,69,45677,0,28863,1217,4508,581.0,35339,227.0,1068,323.0,20492,1203.0,13075,831,991,248.0,2705,443,3014,459,10.6,0.9,4.4,0.6,31203.0,716.0,9.7,0.8,19.5,0.1,21.9,0.0,14.0,0.6,5.7,0.7,17.0,0.1,0.5,0.2,18.3,1.1,11.7,0.7,1.3,0.3,3.4,0.6,1.4,0.2,0.0152,0.0455,0.0303,0.0455,0.1365,0.0152,0.7879,0.4242,0.0758,0.0606,1.3485,0.1212,0.2121,0.4091,0.6212,0.19699999999999998,1.0,0.1515,0.303,0.0303,0.3788,1.8636,0.1667,3.9698,0.0152,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,20864,1646,10.2,0.8,195677
2,1,ALABAMA,AL,St. Clair,1115,"St. Clair County, Alabama",631.6030046,87306,0,36628,118,32172,526,11268,1559,2188,428,24861,842,9255,911,13891,84,19998,106,14055,965,2319,320.0,12197,25.0,391,223.0,619,234.0,8772,571,277,112.0,979,221,2200,289,13.2,1.8,5.3,1.1,24861.0,842.0,15.2,1.5,15.9,0.1,22.9,0.1,16.5,1.1,7.2,1.0,14.0,0.0,0.5,0.3,1.7,0.6,23.9,1.6,0.9,0.3,3.0,0.7,2.5,0.3,0.0455,0.1364,0.2424,0.2121,0.6364,0.0909,0.2121,0.6667,0.2727,0.1667,1.3182,0.1061,0.1212,0.4091,0.5303,0.1212,0.4697,0.6212,0.0909,0.0152,0.7121,1.9091,0.2121,4.394,0.0303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7553,985,8.8,1.2,67607
3,1,ALABAMA,AL,Colbert,1033,"Colbert County, Alabama",592.7446865000001,54495,0,26466,58,21799,445,8785,848,1397,286,24918,1055,6016,555,10502,73,11608,38,10086,520,1791,278.0,11630,35.0,175,127.0,587,147.0,2455,310,83,54.0,1322,244,436,83,16.3,1.6,5.9,1.2,24918.0,1055.0,15.6,1.4,19.3,0.1,21.3,0.1,18.7,1.0,8.2,1.3,21.3,0.1,0.3,0.2,2.2,0.6,9.3,1.2,0.4,0.3,6.1,1.1,0.8,0.2,0.2727,0.2879,0.2273,0.2576,1.0455,0.1818,0.7424,0.2879,0.5,0.3939,1.9242,0.4697,0.2879,0.2121,0.5,0.1061,0.5606,0.0909,0.0152,0.5,0.0455,1.2122,0.0,4.6819,0.0455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4353,552,8.1,1.0,56580
4,1,ALABAMA,AL,Madison,1089,"Madison County, Alabama",801.5829707,357560,0,159299,251,145256,1161,45960,2425,10632,812,35526,579,21617,1023,51308,25,79195,33,46042,1701,11785,789.0,125445,339.0,3762,517.0,16210,995.0,7081,606,1939,339.0,7103,496,8842,548,13.2,0.7,5.8,0.4,35526.0,579.0,8.9,0.4,14.3,0.1,22.1,0.0,13.1,0.5,8.1,0.5,35.1,0.1,1.1,0.2,10.2,0.6,4.4,0.4,1.3,0.2,4.9,0.3,2.5,0.2,0.0455,0.2424,0.0152,0.0152,0.3183,0.0303,0.0606,0.4848,0.0303,0.3636,0.9393,0.0152,0.6061,0.7576,1.3637,0.8939,0.9394,0.0303,0.303,0.2424,0.7121,2.2272,0.3788,4.8485,0.0606,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,31451,1695,8.9,0.5,377577
5,1,ALABAMA,AL,Lauderdale,1077,"Lauderdale County, Alabama",668.0128629,92585,0,44792,164,38514,545,13703,1196,2267,279,27189,881,7979,658,17876,107,18522,70,13503,763,2923,398.0,14084,52.0,504,197.0,2357,332.0,4083,510,475,167.0,2698,321,2209,307,15.2,1.3,5.3,0.7,27189.0,881.0,12.6,1.0,19.3,0.1,20.0,0.1,14.7,0.8,7.6,1.0,15.2,0.1,0.6,0.2,5.3,0.7,9.1,1.1,1.2,0.4,7.0,0.8,2.4,0.3,0.1818,0.1364,0.1364,0.1061,0.5607,0.0606,0.7424,0.0758,0.1515,0.2879,1.2576,0.0909,0.1515,0.5303,0.6818,0.2576,0.8485,0.0758,0.2424,0.5909,0.6667,2.4243,0.5303,4.9244,0.0758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8328,783,9.1,0.9,80602
6,1,ALABAMA,AL,Lawrence,1079,"Lawrence County, Alabama",690.6840635,33171,0,15373,44,12811,345,5508,733,766,158,23557,1123,4919,529,5787,121,7232,24,6750,490,937,223.0,7781,46.0,62,108.0,128,61.0,3458,331,195,87.0,705,146,232,93,16.8,2.2,5.7,1.2,23557.0,1123.0,21.0,2.2,17.4,0.4,21.8,0.1,20.5,1.5,7.3,1.7,23.5,0.1,0.2,0.3,0.8,0.4,22.5,2.2,1.5,0.7,5.5,1.2,0.7,0.3,0.303,0.2121,0.3636,0.8029999999999999,1.6817,0.3788,0.4242,0.3788,0.6515,0.1818,1.6363,0.19699999999999998,0.3636,0.1818,0.5454,0.1364,0.1667,0.5303,0.4394,0.3485,0.0152,1.5001,0.0606,5.3635,0.0909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2686,335,8.2,1.0,22621
7,1,ALABAMA,AL,Autauga,1001,"Autauga County, Alabama",594.4434589,55200,0,23315,71,21115,383,8422,1137,1065,257,29372,2306,4204,475,8050,75,13369,32,10465,729,1586,319.0,13788,59.0,426,205.0,886,308.0,4279,469,299,142.0,1191,272,546,161,15.4,2.1,4.2,1.0,29372.0,2306.0,11.3,1.3,14.6,0.1,24.2,0.1,19.3,1.3,7.5,1.5,25.0,0.1,0.8,0.4,3.8,1.3,18.4,2.0,1.4,0.7,5.6,1.3,1.0,0.3,0.2121,0.0303,0.0606,0.0758,0.3788,0.0455,0.1061,0.8939,0.5909,0.2576,1.8485,0.4242,0.4091,0.6667,1.0758,0.6061,0.7727,0.3636,0.3788,0.4091,0.1667,2.0909,0.3333,5.394,0.1061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3875,508,7.1,0.9,37301
8,1,ALABAMA,AL,Blount,1009,"Blount County, Alabama",644.8304602000001,57645,0,24222,55,20600,396,8220,992,909,193,22656,905,7861,727,10233,91,13468,53,8114,592,1437,267.0,7413,229.0,934,239.0,211,104.0,6108,476,339,130.0,856,201,543,117,14.4,1.7,4.1,0.8,22656.0,905.0,19.8,1.8,17.8,0.2,23.4,0.1,14.2,1.0,7.0,1.3,12.9,0.4,1.7,0.4,0.9,0.4,25.2,2.0,1.6,0.6,4.2,1.0,0.9,0.2,0.1364,0.0152,0.5455,0.7121,1.4092,0.2879,0.4394,0.7727,0.1061,0.1212,1.4394,0.1515,0.1061,0.9091,1.0152,0.5,0.19699999999999998,0.6667,0.4848,0.1061,0.0758,1.5304,0.0909,5.3942,0.1212,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,6303,732,11.0,1.3,40036
9,1,ALABAMA,AL,Cherokee,1019,"Cherokee County, Alabama",553.5248315,25853,0,16531,57,10606,370,3827,575,581,170,23356,1325,3692,413,5621,98,5286,146,5110,520,494,166.0,2123,22.0,99,113.0,331,107.0,4825,441,155,95.0,435,117,274,97,15.0,2.3,5.6,1.6,23356.0,1325.0,19.8,2.2,21.7,0.4,20.4,0.6,20.0,2.0,4.7,1.6,8.2,0.1,0.4,0.5,2.0,0.7,29.2,2.7,1.5,0.9,4.1,1.1,1.1,0.4,0.1515,0.1818,0.3788,0.7121,1.4242,0.303,0.9697,0.1061,0.6364,0.0,1.7122,0.2727,0.0606,0.2879,0.3485,0.0303,0.5303,0.8029999999999999,0.4394,0.0909,0.19699999999999998,2.0606,0.3182,5.5455,0.1364,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2133,432,8.3,1.7,19502
